iterations per agent,number of agents,random seed,average utility of best design,smax,smin,t_init,t_phase1,number of created designs,utility param,number of same designs
19,10,2,0.18515461600105257,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.000188209000043571,67,30,20
20,10,2,0.18954027070445018,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019204199998057447,74,30,21
21,10,2,0.19155827435416006,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019225000141886994,79,30,22
22,10,2,0.19365994642571102,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019233300008636434,82,30,25
23,10,2,0.1960174803568825,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019145800069964025,86,30,26
24,10,2,0.2044872954110291,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019699999938893598,93,30,27
25,10,2,0.20672462635171907,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019133300156681798,97,30,28
26,10,2,0.20672462635171907,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019354100004420616,102,30,30
27,10,2,0.20672462635171907,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019420799981162418,107,30,30
28,10,2,0.2127633186965944,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019599999905040022,110,30,32
29,10,2,0.21765341766628638,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018916699991677888,112,30,33
30,10,2,0.22354612569854018,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019141699885949492,115,30,35
31,10,2,0.22354612569854018,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019137500021315645,119,30,36
32,10,2,0.2240014182910952,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001939590001711622,121,30,40
33,10,2,0.2240014182910952,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.000189124999451451,122,30,43
34,10,2,0.22522718686477106,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018970800010720268,124,30,45
35,10,2,0.22522718686477106,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001872909997473471,126,30,46
36,10,2,0.22522718686477106,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0005479159990500193,127,30,49
37,10,2,0.22522718686477106,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018791699949360918,129,30,50
38,10,2,0.22522718686477106,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018408299911243375,130,30,50
39,10,2,0.22522718686477106,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018683400048757903,132,30,50
40,10,2,0.23240731829984945,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018825000006472692,133,30,52
41,10,2,0.23240731829984945,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001880410000012489,133,30,56
42,10,2,0.23240731829984945,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019483300093270373,135,30,61
43,10,2,0.23240731829984945,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019233300008636434,138,30,63
44,10,2,0.2397146140222381,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019279099979030434,142,30,64
45,10,2,0.2397146140222381,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001937079996423563,145,30,66
46,10,2,0.2397146140222381,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019070800044573843,147,30,68
47,10,2,0.2397146140222381,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.0001940830006788019,150,30,70
48,10,2,0.2397146140222381,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00019637500008684583,155,30,71
49,10,2,0.2432812147070838,0.8917700180399356,0.13034808372626028,0.6236858330012183,0.00018941700000141282,156,30,73
0,10,3,0.13556813975282284,0.9119372026213048,0.13556813975282284,0.6032217499996477,0,1,30,0
1,10,3,0.13922287316828547,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00016820800010464154,6,30,0
2,10,3,0.14511528903352205,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.00012541700016299728,11,30,0
3,10,3,0.14593673660861226,0.9119372026213048,0.13556813975282284,0.6032217499996477,0.0001919169990287628,12,30,0
