,iterations per agent,number of agents,random seed,average utility of best design,smax,smin,number of created designs
113,17,10,4,0.2587428100772692,0.8268466004262927,0.1688422002809171,61
114,19,10,4,0.2732348073509706,0.8268466004262927,0.1688422002809171,73
115,21,10,4,0.2732348073509706,0.8268466004262927,0.1688422002809171,76
116,23,10,4,0.2751866608677348,0.8268466004262927,0.1688422002809171,86
117,25,10,4,0.2897259523665929,0.8268466004262927,0.1688422002809171,95
118,27,10,4,0.2982657271157767,0.8268466004262927,0.1688422002809171,102
119,29,10,4,0.3079035698386561,0.8268466004262927,0.1688422002809171,111
120,31,10,4,0.3159803478579365,0.8268466004262927,0.1688422002809171,117
121,33,10,4,0.3232625934782465,0.8268466004262927,0.1688422002809171,121
122,35,10,4,0.330807867441741,0.8268466004262927,0.1688422002809171,128
123,37,10,4,0.3321113612056464,0.8268466004262927,0.1688422002809171,132
124,39,10,4,0.3330217618584658,0.8268466004262927,0.1688422002809171,139
125,41,10,4,0.3389070471039138,0.8268466004262927,0.1688422002809171,145
126,43,10,4,0.3389070471039138,0.8268466004262927,0.1688422002809171,151
127,45,10,4,0.3389070471039138,0.8268466004262927,0.1688422002809171,157
128,47,10,4,0.3464338774680003,0.8268466004262927,0.1688422002809171,165
129,49,10,4,0.3474371624337941,0.8268466004262927,0.1688422002809171,173
130,0,10,5,0.2056178981151086,0.873957838337526,0.2056178981151086,1
131,1,10,5,0.2060244033458361,0.873957838337526,0.2056178981151086,4
132,3,10,5,0.2084913042043456,0.873957838337526,0.2056178981151086,15
133,5,10,5,0.2093517929382868,0.873957838337526,0.2056178981151086,25
134,7,10,5,0.2093517929382868,0.873957838337526,0.2056178981151086,29
135,9,10,5,0.2102114482735066,0.873957838337526,0.2056178981151086,35
136,11,10,5,0.2119194901007608,0.873957838337526,0.2056178981151086,39
137,13,10,5,0.2131399764339175,0.873957838337526,0.2056178981151086,50
138,15,10,5,0.2149300571842347,0.873957838337526,0.2056178981151086,57
139,17,10,5,0.2153948033517599,0.873957838337526,0.2056178981151086,60
140,19,10,5,0.2169829914441552,0.873957838337526,0.2056178981151086,68
141,21,10,5,0.2192389120649157,0.873957838337526,0.2056178981151086,72
142,23,10,5,0.2197900926616908,0.873957838337526,0.2056178981151086,80
143,25,10,5,0.2197900926616908,0.873957838337526,0.2056178981151086,83
144,27,10,5,0.2197900926616908,0.873957838337526,0.2056178981151086,89
145,29,10,5,0.2197900926616908,0.873957838337526,0.2056178981151086,94
146,31,10,5,0.2207031886076105,0.873957838337526,0.2056178981151086,98
147,33,10,5,0.2261022406427971,0.873957838337526,0.2056178981151086,106
148,35,10,5,0.2261022406427971,0.873957838337526,0.2056178981151086,110
149,37,10,5,0.2261022406427971,0.873957838337526,0.2056178981151086,113
150,39,10,5,0.2261022406427971,0.873957838337526,0.2056178981151086,119
151,41,10,5,0.2278529072025623,0.873957838337526,0.2056178981151086,123
152,43,10,5,0.2305198429755589,0.873957838337526,0.2056178981151086,134
153,45,10,5,0.232462419093111,0.873957838337526,0.2056178981151086,140
154,47,10,5,0.232462419093111,0.873957838337526,0.2056178981151086,147
155,49,10,5,0.232462419093111,0.873957838337526,0.2056178981151086,153
156,0,10,6,0.1085813497119015,0.9573138562129956,0.1085813497119015,1
157,1,10,6,0.1093526970858758,0.9573138562129956,0.1085813497119015,7
158,3,10,6,0.115607466989482,0.9573138562129956,0.1085813497119015,20
159,5,10,6,0.1200388256712213,0.9573138562129956,0.1085813497119015,28
160,7,10,6,0.1230241508413247,0.9573138562129956,0.1085813497119015,37
161,9,10,6,0.1281176221027515,0.9573138562129956,0.1085813497119015,40
162,11,10,6,0.1314023315847003,0.9573138562129956,0.1085813497119015,52
163,13,10,6,0.1385033913216559,0.9573138562129956,0.1085813497119015,57
164,15,10,6,0.1385033913216559,0.9573138562129956,0.1085813497119015,61
165,17,10,6,0.1385033913216559,0.9573138562129956,0.1085813497119015,67
166,19,10,6,0.1518507791978184,0.9573138562129956,0.1085813497119015,76
167,21,10,6,0.1595217308797966,0.9573138562129956,0.1085813497119015,82
168,23,10,6,0.1648845192147725,0.9573138562129956,0.1085813497119015,90
169,25,10,6,0.1798908881494224,0.9573138562129956,0.1085813497119015,97
170,27,10,6,0.1936449498434668,0.9573138562129956,0.1085813497119015,105
171,29,10,6,0.1936449498434668,0.9573138562129956,0.1085813497119015,108
172,31,10,6,0.1986156231566708,0.9573138562129956,0.1085813497119015,114
173,33,10,6,0.2037831707007609,0.9573138562129956,0.1085813497119015,122
174,35,10,6,0.2146072003410217,0.9573138562129956,0.1085813497119015,129
175,37,10,6,0.2198701198210313,0.9573138562129956,0.1085813497119015,133
176,39,10,6,0.225695703402733,0.9573138562129956,0.1085813497119015,143
177,41,10,6,0.225695703402733,0.9573138562129956,0.1085813497119015,147
178,43,10,6,0.2307048723410152,0.9573138562129956,0.1085813497119015,151
179,45,10,6,0.2361299906498675,0.9573138562129956,0.1085813497119015,157
180,47,10,6,0.247625559336268,0.9573138562129956,0.1085813497119015,166
