number of agents,random seed,votes per solution,average utility of best design,average utility of final design (stage 1),average utility of final design (stage 1+2),smax,smin,number of created designs,utility param,number of same designs,iterations of phase 1,median of avg utility in repo
100,0,48,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,48,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,61,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,78,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,100,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.8482232751020286,0.822978599147425,0.8482232751020286,0.8482605567898969,0.118042248891302,1001,30,0,0,0.4657643852585599
100,0,1,0.8482232751020286,0.6020365640474612,0.8482232751020286,0.8482605567898969,0.118042248891302,1001,30,0,0,0.4657643852585599
100,0,1,0.8482232751020286,0.7996479399347326,0.8482232751020286,0.8482605567898969,0.118042248891302,1001,30,0,0,0.4657643852585599
100,0,1,0.8482232751020286,0.6006496841364671,0.8403505094518222,0.8482605567898969,0.118042248891302,1001,30,0,0,0.4657643852585599
100,0,1,0.8482232751020286,0.8421501194667862,0.8482232751020286,0.8482605567898969,0.118042248891302,1001,30,0,0,0.4657643852585599
100,0,1,0.8482232751020286,0.8382256177080695,0.8482232751020286,0.8482605567898969,0.118042248891302,1001,30,0,0,0.4657643852585599
