number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
300,3,0.31495033157495345,0.30832187227154295,0.8436440563557404,0.17349998961882665,187,30,207,0.5,0.22385060644257834
400,3,0.3926328825375993,0.3921875077004175,0.8459955779056999,0.16261663795076894,217,30,362,0.5,0.2514407799940201
500,3,0.4313788893630804,0.42669571849681,0.8499474288485485,0.1546110425749546,277,30,588,0.5,0.2963123343519406
600,3,0.5457677988053415,0.5457677988053415,0.8497241823538932,0.15559941797131774,337,30,860,0.5,0.3786533242303181
700,3,0.5682609268291444,0.5461895516264619,0.8529541415068237,0.1556917862697753,334,30,1217,0.5,0.3862592526938281
800,3,0.58149304604665,0.5745815751791842,0.853822234608474,0.15553362657035777,385,30,1616,0.5,0.34495975721909206
900,3,0.6860015727035556,0.6804734933494052,0.8533121997962584,0.15421477548902696,387,30,2136,0.5,0.4893063689195099
1000,3,0.7051338607031755,0.702910980515798,0.85455008022076,0.15486002418001465,470,30,2671,0.5,0.5652926249684527
100,4,0.19976929611343577,0.1882464448739671,0.8294599896757581,0.12596050333658745,75,30,31,0.5,0.14439543284736486
200,4,0.3062457803715416,0.3062457803715416,0.8169183981634492,0.13162475955254171,145,30,105,0.5,0.180897147975254
300,4,0.303647336164297,0.2967307275352929,0.8205953405336168,0.1259182452485478,181,30,232,0.5,0.17705161714055356
400,4,0.3568203184557741,0.3568203184557741,0.8265583040961656,0.12425605361447392,238,30,401,0.5,0.21261136982375783
500,4,0.37986883112879133,0.37466206372106375,0.8269279887989763,0.1262815733994418,277,30,624,0.5,0.26466405671921533
600,4,0.3491320221160473,0.3387682306356547,0.8293110923723197,0.12637268790444472,353,30,881,0.5,0.2577664356120576
700,4,0.5451784894071332,0.5409274083922126,0.8275722790518136,0.12662861611427256,357,30,1223,0.5,0.4097152508313795
800,4,0.3474965873837286,0.3474965873837286,0.8296500947924641,0.12571833745878583,427,30,1589,0.5,0.22696449510466812
900,4,0.45860671312252826,0.45404493005295427,0.8285658112743929,0.12621725579464899,428,30,2070,0.5,0.3707019975009974
1000,4,0.511835162219498,0.5013922969333382,0.8279774088766966,0.12636060884491473,472,30,2617,0.5,0.3235516665482434
100,5,0.292399519245502,0.2907678032350864,0.8417455214198867,0.16580206260869393,77,30,28,0.5,0.21175146226158476
200,5,0.41476496454333095,0.40770161284755735,0.8405891173941332,0.1555505594430955,136,30,94,0.5,0.2715211543094216
300,5,0.366007451818083,0.36226298371337634,0.8578887621471704,0.1515104451119688,170,30,210,0.5,0.2494030571870834
400,5,0.42846228508017425,0.4225702338117424,0.8599843449404229,0.1491638319573849,232,30,386,0.5,0.272622459695421
500,5,0.3661738276673994,0.3594683413953007,0.8608445062485719,0.148580816432263,280,30,599,0.5,0.2538075083056932
600,5,0.4516270943336507,0.4478079941079439,0.8618741317494842,0.14637030220729783,352,30,857,0.5,0.32800502003718934
700,5,0.5497109257969145,0.5443555593755699,0.8600298145042226,0.1465168928484044,360,30,1218,0.5,0.36063618671655323
800,5,0.3758102232395618,0.3758102232395618,0.8620323954409916,0.14431744127934917,428,30,1592,0.5,0.23120664529543006
900,5,0.5434090890200395,0.5380819547429095,0.8617087825065173,0.14556705998959818,418,30,2071,0.5,0.39232748798626005
1000,5,0.5241432707595094,0.5115884441072168,0.8622305609646413,0.1440766114552279,497,30,2595,0.5,0.3868100077726812
