number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
610,2,0.5055573214378997,0.5050433299765765,0.5230846169075237,0.5047008028939098,1,40,2042
710,2,0.5033313599797232,0.5030908561318137,0.5191483373388509,0.5022889366842789,1,40,2761
810,2,0.503917669813303,0.5038239128356501,0.5173285563736826,0.5031218369796097,1,40,3558
910,2,0.5025308021615404,0.5023039010369407,0.5134110883655113,0.5019493691564869,1,40,4463
10,3,0.3491961458900939,0.3491961458900939,0.6567746649437372,0.3484433928311218,9,40,0
110,3,0.49562658171759655,0.49562658171759655,0.5513145700840214,0.4947192187975216,75,40,41
210,3,0.501014000511608,0.5005539750713156,0.5306536555261728,0.500008469312876,1,40,254
310,3,0.5052285597348366,0.5052036443267138,0.5262883039603659,0.5044663986041746,1,40,552
410,3,0.507671380848951,0.5067586384242971,0.524406995445939,0.506740940407346,1,40,944
510,3,0.5046942686885489,0.5044207288588803,0.5198532088315465,0.5037331522067386,1,40,1449
610,3,0.5057064676702003,0.5054654005751685,0.5224465175820517,0.5050534053565222,1,40,2070
710,3,0.505016835339763,0.5048977323175148,0.5227086286299532,0.504562450659168,1,40,2802
810,3,0.5035510651224009,0.5033293391038768,0.5248463369775072,0.5028596925771195,1,40,3607
910,3,0.49941937477020165,0.49872749254144255,0.51997885278204,0.498632457663303,1,40,4500
10,4,0.34787752392057775,0.34787752392057775,0.587529520108719,0.3473894666711096,9,40,0
110,4,0.49128332879364567,0.4908509479359231,0.5517390122592633,0.49001026524809854,71,40,45
210,4,0.5045359855384629,0.5041052396146798,0.5404653445929605,0.503670252591741,10,40,253
310,4,0.507324072268185,0.5070784943556901,0.5342942126154252,0.5065404665130251,1,40,559
410,4,0.5054709955618529,0.5054478341117776,0.5339420742929496,0.5041254682569137,1,40,976
510,4,0.503642523651777,0.5036425236517769,0.5311947410332549,0.5024816778058675,1,40,1479
610,4,0.49802265626406106,0.49752432759811444,0.5238877646579001,0.49672481912640387,1,40,2082
710,4,0.5030452012825093,0.5029326250255655,0.5253263106528197,0.49847476606784163,1,40,2793
810,4,0.5054465996799378,0.5052755634870013,0.5214395433254804,0.49794212248055,1,40,3622
910,4,0.5050673900341971,0.505062990668987,0.5192556741301491,0.49505351753220134,1,40,4492
10,5,0.3374612759689282,0.3374612759689282,0.6671134331945863,0.33598308236376917,9,40,0
110,5,0.4739225476875868,0.4737282009203158,0.5564298196755137,0.47257280482907715,53,40,58
210,5,0.4835783723763056,0.4832391263102677,0.5490989265695542,0.48240113360617315,2,40,269
310,5,0.488879462625207,0.4887746915750321,0.5405661154408933,0.4884496821200053,1,40,582
410,5,0.49849191400218906,0.4984362966150503,0.528208707724953,0.49812232923880034,1,40,981
510,5,0.4955505463063271,0.49547068518511,0.52417282716379,0.4949293391764313,1,40,1495
610,5,0.5001163231023276,0.4963603668780176,0.5233610702086844,0.49613279750816863,1,40,2115
710,5,0.5029438402259522,0.4947959631514639,0.5236134023081864,0.4936981495701303,1,40,2822
810,5,0.501563548181324,0.4957729386033408,0.5211373606255567,0.494619344402066,1,40,3619
910,5,0.5038430394742522,0.5038430394742524,0.5184979386806481,0.49755330750481297,1,40,4505
10,6,0.36578035585083446,0.36578035585083446,0.6637312973415325,0.36525761351855346,10,40,0
110,6,0.4980294680114838,0.4976875464400672,0.5429584983269229,0.4954897753637968,54,40,70
210,6,0.4915397968814319,0.4903162853597666,0.5335528619849035,0.4882549558783185,2,40,280
310,6,0.49421343372447996,0.49380751805149137,0.5201527053459462,0.49087913155185553,1,40,581
410,6,0.49764931181870226,0.49764931181870226,0.5247476932214048,0.49641535869212794,1,40,990
510,6,0.49845553201138,0.4984288297827426,0.5207978754810622,0.49823301565452127,1,40,1482
610,6,0.5022311104607522,0.5021885972528445,0.5182809681722821,0.5017001750205492,1,40,2080
710,6,0.5025459125266272,0.5023939354489728,0.5222313692220746,0.50192141440861,1,40,2799
810,6,0.4997528622593703,0.4994415286226679,0.5159990423660058,0.49889796259477626,1,40,3602
910,6,0.49869714498094425,0.49869714498094425,0.5161106679408329,0.49851671295957317,1,40,4503
10,7,0.3590485187665458,0.3590485187665458,0.6472273955619157,0.35872120061043344,12,40,0
110,7,0.521248026492356,0.5212344116915285,0.557406860530691,0.5182893292198962,37,40,60
210,7,0.5324066603678409,0.5323957787514364,0.5395956264908321,0.5304872437073511,1,40,266
310,7,0.5222994078852863,0.5222994078852863,0.5282285115418144,0.5214990988040881,1,40,593
410,7,0.5210586016308926,0.5210586016308926,0.5270401505612103,0.5203986800344776,1,40,1004
510,7,0.5230160305959498,0.5229196188007298,0.5260209543006704,0.5226092706403644,1,40,1522
610,7,0.5262568241897042,0.5262568241897041,0.5268546581708848,0.5260549902086276,1,40,2130
710,7,0.5190212562416243,0.5190212562416242,0.529834946671877,0.5185308674540037,1,40,2835
810,7,0.5187114549139276,0.5187041798698784,0.528278142505343,0.5186966952002448,1,40,3615
910,7,0.5197229042449063,0.5197229042449063,0.523297646214341,0.5192604024222021,1,40,4517
10,8,0.36247112904129375,0.36247112904129375,0.6367146760956056,0.36132095174758383,12,40,0
110,8,0.47866489488595365,0.47866489488595365,0.554508256567144,0.47811789801163973,41,40,78
210,8,0.4854752012742595,0.48478227375963884,0.539380640188985,0.48399956363891206,3,40,280
