number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
341,2,0.39525313245827354,0.001159100095185553,0.8642854925207829,0.14846364900853476,211,30,1091,0.5
361,2,0.4282016429833942,0.0011861541356880726,0.863105059242765,0.1455683009918263,224,30,1239,0.5
381,2,0.3726699027843487,0.0009505125126703259,0.8644526106100802,0.14531978841369822,210,30,1428,0.5
1,3,0.0011483018145407036,0.0011483018145407036,1.0,0.0,3,30,0,0.5
21,3,0.18353272135499693,0.008645618510481864,0.8508676752989324,0.14442643223846582,23,30,3,0.5
41,3,0.225235392315242,0.005493546154030293,0.860089268650081,0.15071243198769968,38,30,14,0.5
61,3,0.2527343762340952,0.004143186495640905,0.8615955219021373,0.14732744690748595,51,30,22,0.5
81,3,0.27445178834092054,0.003254348972816506,0.8585419730229769,0.15080719485919392,60,30,47,0.5
101,3,0.2639439689977559,0.0026133066237401573,0.8530859600394314,0.1406647991629787,73,30,73,0.5
121,3,0.25818764695720947,0.0021337822062579294,0.8491731615853664,0.13813459224029878,86,30,106,0.5
141,3,0.32088564820659676,0.002275784739053878,0.846176836914031,0.13317211857500033,97,30,146,0.5
161,3,0.31604069967290016,0.0019020213494423302,0.8482535254399699,0.1281634608215183,117,30,194,0.5
181,3,0.2760164827774108,0.0014506312109378,0.8472947105382045,0.12844391781267273,146,30,234,0.5
201,3,0.30723135771128846,0.001528514217469097,0.8494430706913199,0.13065862612656176,134,30,309,0.5
221,3,0.349126014540073,0.0015550489499558205,0.8487697459717732,0.1277318109517476,153,30,391,0.5
241,3,0.40613830976152043,0.0016832126591615555,0.8529649174275618,0.13240924121288758,151,30,501,0.5
261,3,0.41617914545036966,0.0015945561128366654,0.8519372547518185,0.13865446466559275,158,30,610,0.5
281,3,0.4167547091728514,0.001389230246340739,0.8510413375468375,0.14069137310922528,169,30,726,0.5
301,3,0.4455239228975368,0.001447709150188497,0.8506316591697192,0.14219352955649253,183,30,826,0.5
321,3,0.45665831468110235,0.001421803725763964,0.8500042136277013,0.14365767756977096,196,30,958,0.5
341,3,0.38193998526232675,0.0011200586078074098,0.8515909400493621,0.14526329337454394,204,30,1118,0.5
361,3,0.37741494695144817,0.0010177800605767708,0.8511477250628008,0.14773121644188944,224,30,1247,0.5
381,3,0.4224601122297367,0.0011088191922040333,0.852268336082417,0.14585580812296786,231,30,1400,0.5
1,4,0.0002954804693373368,0.0002954804693373368,1.0,0.0,2,30,0,0.5
21,4,0.15874993179372585,0.007559520561605993,0.8149389695808099,0.14646571225157826,23,30,2,0.5
41,4,0.15637378707486066,0.0038139948067039183,0.8236158624703882,0.12690066622517124,38,30,7,0.5
61,4,0.15578818256715288,0.002385573438109802,0.8378746777623379,0.1200239060418873,54,30,22,0.5
81,4,0.20256966886929018,0.0025008601094974096,0.8412575081784579,0.11693767582711437,71,30,38,0.5
101,4,0.19030197104308752,0.0018841779311196784,0.8429412426477825,0.10391896809811225,71,30,67,0.5
121,4,0.20069201333007997,0.001658611680413884,0.8369591487750081,0.10640591890489673,94,30,95,0.5
141,4,0.22511519471419061,0.0015537616723856128,0.8278200295572682,0.11567543724582469,96,30,135,0.5
161,4,0.21753548309686174,0.0013110716888743786,0.829167191533159,0.11772304199806206,115,30,185,0.5
181,4,0.21811404132409962,0.001168172492204194,0.8329543215832814,0.11739137357289464,129,30,221,0.5
201,4,0.32182085804772725,0.0016004451370133248,0.8316133546230937,0.11974955504903599,136,30,290,0.5
221,4,0.3192742422298284,0.0014446798290942463,0.8263350735169874,0.11791141913215532,160,30,368,0.5
241,4,0.24830031168885053,0.0009753239105001982,0.828994925141858,0.11769091255067171,149,30,451,0.5
261,4,0.24147999868600997,0.0009171082687892961,0.8261649377553739,0.11709609843493692,157,30,548,0.5
281,4,0.2527680272326614,0.0008995303460237061,0.8280155758050278,0.11567777092982899,181,30,658,0.5
301,4,0.30669939128182844,0.0010189348547569052,0.8289842447628238,0.11578456240399487,189,30,797,0.5
321,4,0.38326814272616533,0.0011516583575720148,0.8305248946612142,0.11557993173472073,204,30,920,0.5
341,4,0.36561425064983916,0.0010246892219177755,0.8325989449728591,0.1144976617389394,210,30,1064,0.5
361,4,0.3617131288132953,0.000984606488830714,0.8288430496673368,0.11428971130363287,218,30,1231,0.5
381,4,0.3098247291487437,0.0008008412368020847,0.8288884486055903,0.11613917521496772,207,30,1405,0.5
1,5,0.00046395291657555906,0.00046395291657555906,1.0,0.0,2,30,0,0.5
