number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
784,11,0.5385501587627212,0.5375934494069432,0.871177889139411,0.16007869453271845,346,30,1122,0.5,0.3114495250982337
1128,11,0.6985933046029423,0.6985933046029423,0.8705740500771872,0.15445170835259042,380,30,1826,0.5,0.4305570808015241
1623,11,0.7016028825874888,0.697623222708837,0.8688097609840412,0.1548519447342428,499,30,2891,0.5,0.43976956294663694
2335,11,0.7287923916868949,0.7279615634707981,0.869544955915446,0.15419249475028493,657,30,4446,0.5,0.5418707151315489
3359,11,0.7278958676195804,0.7271365011885104,0.8715374556087726,0.15572249473893754,612,30,6996,0.5,0.5786720182337697
4832,11,0.7274057584976664,0.7266225562727877,0.8708517301816661,0.15553488979802724,696,30,10805,0.5,0.632229522948659
6951,11,0.7303717435652833,0.7303717435652833,0.8703741140030855,0.15535782485074973,857,30,16474,0.5,0.6085156418454634
10000,11,0.7305805942230774,0.72999834479477,0.8704290989899324,0.15607562841741418,1002,30,24642,0.5,0.6630435747223133
10,12,0.1431575488898608,0.1431575488898608,0.9084460656552389,0.13598841071228931,11,30,0,0.5,0.13714660566701561
14,12,0.14649598544311754,0.14649598544311754,0.9042345071133974,0.1397112062113017,13,30,0,0.5,0.14162176603132817
20,12,0.1675097479766931,0.1675097479766931,0.9029439640774178,0.15314080893180576,20,30,0,0.5,0.15602871580127584
29,12,0.16835018371778263,0.16835018371778263,0.9124027014759593,0.15087662789853098,26,30,5,0.5,0.15634102484189794
42,12,0.16574927454447178,0.16574927454447178,0.9013222555686133,0.14015782059006968,37,30,9,0.5,0.14561454327446557
61,12,0.22706139728430053,0.22706139728430053,0.8969912053818431,0.13860415731525033,55,30,21,0.5,0.15509228200697361
88,12,0.1932563487436165,0.18321006581541663,0.899499162049079,0.1375083417843865,62,30,50,0.5,0.15419403479239466
127,12,0.2087091152677131,0.2087091152677131,0.8831272913711993,0.12659452187899956,92,30,89,0.5,0.1482755087063446
183,12,0.3481783512997085,0.3454142650735374,0.881617516933628,0.13382222675095148,130,30,147,0.5,0.2430113244296866
263,12,0.28958756657486423,0.28958756657486423,0.8778739052969582,0.12858692222168003,161,30,247,0.5,0.16410922827104055
379,12,0.26981732430385924,0.26762636325241396,0.8817668156400638,0.13127438031358774,225,30,395,0.5,0.17963249219876803
545,12,0.36990457747845845,0.36990457747845845,0.8844109793379141,0.1354458632797265,304,30,628,0.5,0.23202453007140492
784,12,0.4213079209690548,0.4213079209690548,0.8814611538090215,0.13639391689125532,392,30,1025,0.5,0.21742824443781583
1128,12,0.501292285433055,0.49273992535445915,0.8848300278683031,0.1370697516748686,554,30,1620,0.5,0.3882038935783973
1623,12,0.5559159126854597,0.5559159126854597,0.8880691889509146,0.13702194274499865,652,30,2585,0.5,0.35261867421549725
2335,12,0.5222713103367791,0.5188648986721195,0.8872800695732881,0.1363171445730734,904,30,4018,0.5,0.4153837224530713
3359,12,0.557953378341804,0.557953378341804,0.8875716093383612,0.13605800626866948,1215,30,6160,0.5,0.43350433908679176
4832,12,0.5723474420656084,0.5690179159144044,0.8883720746155973,0.1352341426638686,1581,30,9395,0.5,0.417488758810033
6951,12,0.5577692227244808,0.549621556366955,0.8887812169400561,0.13421034862738618,1938,30,14293,0.5,0.474349382823597
10000,12,0.596151164098998,0.5946650197945742,0.8889659857491262,0.1327823992226242,2565,30,21512,0.5,0.4947183090171153
10,13,0.12093500532215495,0.12093500532215495,0.8987042591668581,0.11555364560091223,10,30,0,0.5,0.1168387001830147
14,13,0.1410161149030042,0.1410161149030042,0.8962157171650089,0.11352267568594392,18,30,1,0.5,0.12304629285986507
20,13,0.15143019725742238,0.15143019725742238,0.8616526069864028,0.12800938786567317,22,30,2,0.5,0.13273060433948936
29,13,0.2019161791717287,0.2019161791717287,0.8604902602508204,0.15052481962190262,29,30,5,0.5,0.169170971923946
42,13,0.19641713652418596,0.1937063397954647,0.8567206526347833,0.15449623664953005,47,30,8,0.5,0.1729031071082526
61,13,0.21586232984908693,0.2066191738359329,0.8653550205879723,0.1644838438735699,54,30,19,0.5,0.17993510027833445
88,13,0.2730173492973484,0.2730173492973484,0.8581759097250814,0.16517201106723786,82,30,34,0.5,0.18650418803077012
127,13,0.2063954192626455,0.2050424293180668,0.8561257721026991,0.1544900646690839,90,30,73,0.5,0.170651527113873
183,13,0.4121022671656326,0.411297385786468,0.8563862764504208,0.15890172615727507,117,30,134,0.5,0.29112607946334335
263,13,0.5260106400040911,0.5260106400040911,0.8582226526017696,0.1580376030618927,170,30,241,0.5,0.35509549788852346
379,13,0.5164544850466658,0.5164544850466658,0.8569991086702924,0.16077253825128565,230,30,410,0.5,0.37665147129722115
545,13,0.5078876799020868,0.500903278744533,0.8577251666067568,0.16175380539380602,326,30,650,0.5,0.3448035340833967
784,13,0.6260414372824585,0.6169465699660346,0.8607664136169298,0.16175084298588144,440,30,1030,0.5,0.5349928535258419
1128,13,0.5521016224598481,0.5483301707577921,0.8572293815869719,0.16299528999571464,497,30,1634,0.5,0.39317766083960026
1623,13,0.6032555295781251,0.6032555295781251,0.8579567100509868,0.16300703043254186,708,30,2546,0.5,0.39207289601705486
2335,13,0.5950974483116711,0.5912027326126221,0.8606125102325125,0.1615085673684887,799,30,3978,0.5,0.49330821671002406
3359,13,0.6255814971598812,0.6239472729326794,0.8612344473747615,0.16192134370945888,1109,30,6254,0.5,0.5014795169305489
4832,13,0.6376675005043255,0.6375538420418212,0.8599034621465734,0.15968617658824769,1404,30,9590,0.5,0.5895142081395147
6951,13,0.636491036402999,0.6355714930514449,0.8575759401155406,0.1597073818443702,1533,30,14683,0.5,0.6170302068312944
10000,13,0.6336871026718798,0.6327223897548441,0.857831313468541,0.16005314406303786,2063,30,22324,0.5,0.5573449790565029
10,14,0.13016000987302792,0.13016000987302792,0.7947879738081525,0.12132157336394138,10,30,0,0.5,0.12396454684382799
14,14,0.1183367537386171,0.11567561719474602,0.8038908403736865,0.10613264280668981,15,30,0,0.5,0.10868430449897652
20,14,0.1274267440318586,0.1274267440318586,0.8097955181418219,0.1177197985719747,21,30,1,0.5,0.11983094699929922
29,14,0.13685966085166043,0.13397792873611522,0.8283164502420467,0.12193760226728122,28,30,1,0.5,0.12531206031137637
42,14,0.15092754458080437,0.14744889954400864,0.8560809542767829,0.1181727611580671,39,30,4,0.5,0.12315111806299713
61,14,0.14468512153738528,0.14468512153738528,0.8633241868744287,0.12249919677839283,62,30,15,0.5,0.12851475019144165
88,14,0.177688137664733,0.1660818708211401,0.8637357953783127,0.12797036676741372,77,30,45,0.5,0.13919809802481534
127,14,0.1829067885929008,0.17915266029899063,0.8534756705546462,0.13337413621535307,93,30,80,0.5,0.14052880342858712
183,14,0.2582856851345458,0.2582856851345458,0.8489097673510925,0.13270392151725852,131,30,140,0.5,0.17197041880643618
263,14,0.21274252513129369,0.21274252513129369,0.8376688003271067,0.12656625311947273,190,30,250,0.5,0.14865105457001504
379,14,0.32765954319518126,0.32765954319518126,0.8389921889445479,0.12760619733174552,223,30,416,0.5,0.1890389396235191
545,14,0.2885653109276199,0.2885653109276199,0.8454562008817932,0.1335421321463588,324,30,671,0.5,0.17825231108389156
784,14,0.4428825624840149,0.43751630694756716,0.8421423716398009,0.13172734619297294,378,30,1106,0.5,0.24872579070144918
1128,14,0.47340026387006573,0.47102622469696187,0.8419653811938979,0.1310597518356229,515,30,1713,0.5,0.38037613489858657
1623,14,0.6203967393376213,0.6148519538107817,0.8408647168041299,0.13216419689312167,633,30,2653,0.5,0.4185721183023684
2335,14,0.6226832057845407,0.6118264303835631,0.8430609174909297,0.1299487398131063,890,30,4082,0.5,0.38561327275129476
3359,14,0.5950456332492482,0.583446746578188,0.8452981915076868,0.13016966758537968,1156,30,6258,0.5,0.40043334628419375
4832,14,0.515187122679513,0.5091235864613495,0.8452331004847929,0.12979827067722013,1574,30,9460,0.5,0.33291559780657576
6951,14,0.5654082155891484,0.5446038558737699,0.8445574923915137,0.1301744686477403,1881,30,14584,0.5,0.4556794199991951
10000,14,0.6388117854162935,0.6365254367344901,0.8435338168047825,0.1303335605583784,2157,30,22084,0.5,0.5163133412063627
10,15,0.12611730155669867,0.12611730155669867,0.8417080802161122,0.12179816961670827,9,30,0,0.5,0.12248429631000646
14,15,0.14897076347951074,0.14897076347951074,0.8471234942948455,0.13818549447636333,21,30,1,0.5,0.14051764052496116
20,15,0.19238336764650943,0.19238336764650943,0.8200180243278219,0.14166518191717747,24,30,2,0.5,0.15278304849114954
29,15,0.14285572774657565,0.14285572774657565,0.8197407578488992,0.12803884323472214,25,30,8,0.5,0.13053086131252511
42,15,0.2372086004352637,0.2372086004352637,0.8210181158954122,0.13332165487334488,35,30,15,0.5,0.16630335541865596
61,15,0.21227312038422574,0.21227312038422574,0.8259057148863466,0.11793575716268129,49,30,26,0.5,0.15244339992351796
88,15,0.24729036862433657,0.23650395389758969,0.822110801443609,0.1293797208100023,59,30,47,0.5,0.15369393716110052
127,15,0.31447776954701573,0.31447776954701573,0.8300309977079081,0.12608975373980846,99,30,86,0.5,0.19019564827954935
183,15,0.2736187605831799,0.2736187605831799,0.8274401441061328,0.12957996303862668,115,30,146,0.5,0.17097659061166223
