number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
20,8,0.5173082056506334,0.5166337255832323,0.6340328608376821,0.514907612174973,17,40,97
30,8,0.5411437772074712,0.540473226432873,0.6038963756972447,0.5379970430501949,1,40,239
40,8,0.5405089212537193,0.539115693674452,0.5824947012170884,0.5371561884660646,1,40,449
50,8,0.532598479679542,0.532598479679542,0.5828286528637504,0.530989894193668,1,40,713
60,8,0.518216821236803,0.5180749481543719,0.5753210936449189,0.5167808714201595,1,40,1012
70,8,0.5346367745890838,0.5346307301256056,0.569904488646374,0.5344795794579478,1,40,1379
80,8,0.5412523482896585,0.5412410896515306,0.5725317702176683,0.5411341830516975,1,40,1811
90,8,0.5329323148442519,0.5328352407877502,0.5630788543507685,0.5312100676021031,1,40,2273
100,8,0.5346692617127894,0.5346626771684889,0.5558042180887854,0.5317943195302134,1,40,2763
10,9,0.33806463676508597,0.33545852189107317,0.7210968700389843,0.33323939314496315,37,40,10
20,9,0.4366361128533427,0.436617596235007,0.5983916017690991,0.42892273063657427,11,40,110
30,9,0.4419917819466324,0.4408810798629792,0.5869062700763447,0.44018709290943436,3,40,267
40,9,0.4709081333630012,0.46946964819021214,0.5829606950103073,0.468195584032386,1,40,485
50,9,0.4917018131191626,0.4911226968816081,0.5775521410258865,0.4863028592044917,1,40,749
60,9,0.48800221683771855,0.4873528517615544,0.567362415519332,0.4818222168943685,1,40,1042
70,9,0.493108080025331,0.49157749472749374,0.5572896158499514,0.4880594185492201,1,40,1395
80,9,0.4928813346590683,0.49003012771986443,0.560543049130355,0.48677561555200216,1,40,1779
90,9,0.4850256028979855,0.4845630631733015,0.5536485954464413,0.4806925926660298,1,40,2249
100,9,0.4833767751971991,0.48133528195864955,0.5500109891843179,0.4791879885842928,1,40,2752
