number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
10000,6,0.5762337186151615,0.5744851352077666,0.8349622026186629,0.14106652771689818,2116,30,17419,0.5,0.3792905997554307
1,7,0.00041143381688740814,0.00041143381688740814,1.0,0.0,3,30,0,0.5,0.00011939005853965372
1,7,0.0014616569718922516,0.0014616569718922516,1.0,0.0,3,30,0,0.5,0.0008647075454773629
2,7,0.16086574829804012,0.16086574829804012,0.9607428703312906,0.16086574829804012,1,30,0,0.5,0.16086574829804012
4,7,0.15356549080441,0.15356549080441,0.9749397065067573,0.15222350375733537,7,30,0,0.5,0.1526364846874073
6,7,0.15956460905695025,0.15956460905695025,0.8396576975067028,0.15898853537297772,7,30,0,0.5,0.15918979503627553
11,7,0.14475273930665158,0.14475273930665158,0.8318227139781391,0.14144761934580347,11,30,1,0.5,0.14227297125429297
18,7,0.11906895704872612,0.11906895704872612,0.8168913188892606,0.1151201261901486,16,30,1,0.5,0.11602075235918798
29,7,0.12290447329712773,0.12049655247990687,0.843095086014313,0.11239296577890626,28,30,4,0.5,0.11488179921162334
48,7,0.12557898041237567,0.12518363001860972,0.8460602839339746,0.11151841086706343,40,30,9,0.5,0.11429003295187917
78,7,0.13781010928653128,0.12797619183233802,0.8455336622525333,0.11882974985527331,56,30,27,0.5,0.12192480089570495
127,7,0.15464150817909048,0.15044764442869948,0.8526362239934787,0.1183534501679927,99,30,62,0.5,0.12595717850178084
206,7,0.1748359447379844,0.1748359447379844,0.8573786048938369,0.1199200038584826,136,30,129,0.5,0.12636969024024425
335,7,0.20432373287054204,0.20432373287054204,0.8569947506257067,0.12506776769238442,211,30,254,0.5,0.1397560462481301
545,7,0.20386124358406763,0.1986240330570661,0.8484998090499422,0.12943608202071322,320,30,527,0.5,0.1495684463941167
885,7,0.26451681765607954,0.26451681765607954,0.8448205722603771,0.12443011075250535,469,30,934,0.5,0.1476678235461145
1438,7,0.2551851101884423,0.24957031339284697,0.8457845218294074,0.1250797143665291,688,30,1704,0.5,0.1574326941109349
2335,7,0.4066162445999584,0.4041474823818698,0.8421921943503768,0.1245377712621187,862,30,3179,0.5,0.2880804823986476
3792,7,0.5963810844055929,0.589614801401287,0.843719685265726,0.12332129194930162,1322,30,5704,0.5,0.32090547520044466
6158,7,0.37366799242973725,0.37312917167718224,0.8486124035457112,0.12507626209255956,1882,30,9889,0.5,0.2662677754127217
10000,7,0.6724183063919874,0.6724132114873355,0.8497858307773632,0.12652799775716378,2513,30,17337,0.5,0.4499403756682003
1,8,0.0006667885865897714,0.0006667885865897714,1.0,0.0,3,30,0,0.5,0.000174933716423584
1,8,9.687454357062436e-05,9.687454357062436e-05,1.0,0.0,2,30,0,0.5,4.843727178531218e-05
2,8,0.10172972802631129,0.10172972802631129,0.9167555252806667,0.1011676778360401,4,30,0,0.5,0.10145164417959254
4,8,0.1507265281531784,0.1507265281531784,0.8839997978565843,0.1486613998165853,5,30,0,0.5,0.14952261489566274
6,8,0.13308680718760693,0.13308680718760693,0.8453813170072165,0.13109104705875188,8,30,0,0.5,0.1319788699582713
11,8,0.14139075767102657,0.14139075767102657,0.8484106113188798,0.12890470750059183,11,30,0,0.5,0.1320588697530488
18,8,0.22049566027098713,0.22049566027098713,0.8434568284662491,0.17085567790528935,24,30,1,0.5,0.19234903715077997
29,8,0.19250340442666938,0.19250340442666938,0.8456635960599358,0.144660989073937,29,30,5,0.5,0.1630536776057673
48,8,0.2703298687576236,0.2688895509920273,0.8472918652898834,0.13565666731810525,40,30,13,0.5,0.19533455887153234
78,8,0.3149646379695458,0.3149646379695458,0.8446649434804525,0.15643293786734888,56,30,28,0.5,0.21882490427282136
127,8,0.3357213004946763,0.3357213004946763,0.8305743921128205,0.14922278494571228,87,30,66,0.5,0.22223099905467758
206,8,0.42878422982635356,0.42878422982635356,0.8214286924181123,0.1458222907176653,131,30,140,0.5,0.27217054939692864
335,8,0.467723463343707,0.467723463343707,0.8152207535581751,0.13304926814831045,213,30,282,0.5,0.3017178043850759
545,8,0.5791990544682976,0.5718087593269086,0.8134355875205393,0.13442339593159314,279,30,547,0.5,0.451801106592255
885,8,0.5883207769966197,0.5880693185853223,0.8124932048810282,0.13505382797275584,416,30,977,0.5,0.5347732418304165
1438,8,0.5845717850345751,0.5803101156410009,0.8097104483405776,0.13690889844889614,574,30,1793,0.5,0.5371376592006463
2335,8,0.5846608187346901,0.5835920748011819,0.8076822753341624,0.13526672588661118,683,30,3338,0.5,0.5613546576237253
3792,8,0.5854196640017513,0.5834153856189808,0.8067157536136152,0.1384585235339567,1051,30,5958,0.5,0.5484353878575756
6158,8,0.5857922209019699,0.5847202494710978,0.808544132735064,0.13638978272289096,1111,30,10552,0.5,0.5578827589779111
10000,8,0.5863798498940094,0.5842862790953669,0.8084536445952633,0.13627668583676003,1294,30,18489,0.5,0.5554424037546383
